43-5061,"Production, Planning, and Expediting Clerks","1,537","1,476",-4.0%,38,$13.66,$20.55,http://online.onetcenter.org/link/summary/43-5061.00,"Production, Planning, and Expediting Clerks",High School
13-1023,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",926,"1,005",8.5%,32,$17.23,$23.80,http://online.onetcenter.org/link/summary/13-1023.00,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",High School
41-9099,"Sales and Related Workers, All Other",835,892,6.8%,25,$10.47,$18.17,http://online.onetcenter.org/link/summary/41-9099.00,"Sales and Related Workers, All Other",High School
41-3099,"Sales Representatives, Services, All Other","1,314","1,361",3.6%,38,$14.28,$20.24,http://online.onetcenter.org/link/summary/41-3099.00,"Sales Representatives, Services, All Other",High School
41-4012,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products","5,755","5,920",2.9%,150,$14.62,$22.66,http://online.onetcenter.org/link/summary/41-4012.00,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",High School
41-4011,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",812,835,2.8%,21,$16.41,$26.38,http://online.onetcenter.org/link/summary/41-4011.00,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",High School
47-2211,Sheet Metal Workers,"1,050",981,-6.6%,25,$13.05,$18.48,http://online.onetcenter.org/link/summary/47-2211.00,Sheet Metal Workers,High School
53-3032,"Truck Drivers, Heavy and Tractor-Trailer","11,094","11,476",3.4%,237,$11.99,$15.36,http://online.onetcenter.org/link/summary/53-3032.00,"Truck Drivers, Heavy and Tractor-Trailer",High School
49-3023,Automotive Service Technicians and Mechanics,"4,597","4,759",3.5%,104,$11.66,$16.00,http://online.onetcenter.org/link/summary/49-3023.00,Automotive Service Technicians and Mechanics,Associates Degree
49-3031,Bus and Truck Mechanics and Diesel Engine Specialists,"1,570","1,568",-0.1%,36,$14.37,$17.74,http://online.onetcenter.org/link/summary/49-3031.00,Bus and Truck Mechanics and Diesel Engine Specialists,Associates Degree
15-1041,Computer Support Specialists,"1,868","1,846",-1.2%,52,$14.70,$19.76,http://online.onetcenter.org/link/summary/15-1041.00,Computer Support Specialists,Associates Degree
29-2021,Dental Hygienists,"1,139","1,306",14.7%,40,$25.26,$30.86,http://online.onetcenter.org/link/summary/29-2021.00,Dental Hygienists,Associates Degree
49-9021,"Heating, Air Conditioning, and Refrigeration Mechanics and Installers","2,060","2,254",9.4%,52,$15.46,$19.74,http://online.onetcenter.org/link/summary/49-9021.00,"Heating, Air Conditioning, and Refrigeration Mechanics and Installers",Associates Degree
41-3021,Insurance Sales Agents,"3,647","3,667",0.5%,87,$14.72,$20.17,http://online.onetcenter.org/link/summary/41-3021.00,Insurance Sales Agents,Associates Degree
29-2061,Licensed Practical and Licensed Vocational Nurses,"1,759","1,826",3.8%,62,$15.83,$18.91,http://online.onetcenter.org/link/summary/29-2061.00,Licensed Practical and Licensed Vocational Nurses,Associates Degree
23-2011,Paralegals and Legal Assistants,"1,293","1,424",10.1%,28,$15.16,$19.67,http://online.onetcenter.org/link/summary/23-2011.00,Paralegals and Legal Assistants,Associates Degree
29-2034,Radiologic Technologists and Technicians,"1,317","1,455",10.5%,33,$21.13,$25.26,http://online.onetcenter.org/link/summary/29-2034.00,Radiologic Technologists and Technicians,Associates Degree
29-1111,Registered Nurses,"14,501","16,826",16.0%,486,$21.89,$28.64,http://online.onetcenter.org/link/summary/29-1111.00,Registered Nurses,Associates Degree
29-1126,Respiratory Therapists,562,676,20.3%,21,$21.26,$25.53,http://online.onetcenter.org/link/summary/29-1126.00,Respiratory Therapists,Associates Degree
29-2055,Surgical Technologists,489,599,22.5%,23,$14.85,$18.68,http://online.onetcenter.org/link/summary/29-2055.00,Surgical Technologists,Associates Degree
51-4121,"Welders, Cutters, Solderers, and Brazers","1,825","1,748",-4.2%,56,$12.52,$16.84,http://online.onetcenter.org/link/summary/51-4121.00,"Welders, Cutters, Solderers, and Brazers",Associates Degree
13-2011,Accountants and Auditors,"4,283","4,777",11.5%,121,$17.84,$24.73,http://online.onetcenter.org/link/summary/13-2011.00,Accountants and Auditors,Bachelors Degree 
11-3011,Administrative Services Managers,"1,248","1,287",3.1%,30,$18.45,$28.87,http://online.onetcenter.org/link/summary/11-3011.00,Administrative Services Managers,Bachelors Degree 
19-4021,Biological Technicians,664,731,10.1%,30,$13.99,$18.18,http://online.onetcenter.org/link/summary/19-4021.00,Biological Technicians,Bachelors Degree 
13-1199,"Business Operations Specialists, All Other","3,709","3,777",1.8%,89,$18.19,$25.72,http://online.onetcenter.org/link/summary/13-1199.00,"Business Operations Specialists, All Other",Bachelors Degree 
11-1011,Chief Executives,950,866,-8.8%,27,$33.43,$53.50,http://online.onetcenter.org/link/summary/11-1011.00,Chief Executives,Bachelors Degree 
21-1021,"Child, Family, and School Social Workers","2,058","1,983",-3.6%,52,$14.10,$19.20,http://online.onetcenter.org/link/summary/21-1021.00,"Child, Family, and School Social Workers",Bachelors Degree 
17-2051,Civil Engineers,868,964,11.1%,25,$23.94,$32.60,http://online.onetcenter.org/link/summary/17-2051.00,Civil Engineers,Bachelors Degree 
21-2011,Clergy,"2,305","2,396",3.9%,55,$8.26,$18.52,http://online.onetcenter.org/link/summary/21-2011.00,Clergy,Bachelors Degree 
19-3031,"Clinical, Counseling, and School Psychologists",687,718,4.5%,23,$20.48,$31.81,http://online.onetcenter.org/link/summary/19-3031.00,"Clinical, Counseling, and School Psychologists",Bachelors Degree 
13-1072,"Compensation, Benefits, and Job Analysis Specialists",843,925,9.7%,30,$15.96,$22.18,http://online.onetcenter.org/link/summary/13-1072.00,"Compensation, Benefits, and Job Analysis Specialists",Bachelors Degree 
11-3021,Computer and Information Systems Managers,892,940,5.4%,20,$29.38,$40.44,http://online.onetcenter.org/link/summary/11-3021.00,Computer and Information Systems Managers,Bachelors Degree 
