High Growth,SOC Code,SOCTitle,Base Empl,Proj Empl,Percent Change,Total Openings,2011 Entry Wage,2011 Median Wage,Education/ Training Required,URL,O*NET Summary Report URL
,11-2022,Sales Managers,"1,611","1,638",1.7,50,$23.91,$37.83,Bachelor's degree,http://www.onetonline.org/link/summary/11-2022.00,http://www.onetonline.org/link/summary/11-2022.00
X,15-1121,Computer Systems Analysts,"1,627","1,826",12.2,50,$24.22,$32.07,Bachelor's degree,http://www.onetonline.org/link/summary/15-1121.00,http://www.onetonline.org/link/summary/15-1121.00
,13-1031,"Claims Adjusters, Examiners, and Investigators","1,812","1,758",-3.0,46,$19.43,$26.19,High school diploma or equivalent,http://www.onetonline.org/link/summary/13-1031.00,http://www.onetonline.org/link/summary/13-1031.00
,49-3031,Bus and Truck Mechanics and Diesel Engine Specialists,"1,853","1,918",3.5,46,$15.05,$17.92,High school diploma or equivalent,http://www.onetonline.org/link/summary/49-3031.00,http://www.onetonline.org/link/summary/49-3031.00
X,13-2072,Loan Officers,"1,186","1,330",12.1,44,$15.80,$24.08,High school diploma or equivalent,http://www.onetonline.org/link/summary/13-2072.00,http://www.onetonline.org/link/summary/13-2072.00
,51-1011,First-Line Supervisors/Managers of Production and Operating Workers,"3,350","3,103",-7.4,44,$16.81,$25.42,Postsecondary non-degree award,http://www.onetonline.org/link/summary/51-1011.00,http://www.onetonline.org/link/summary/51-1011.00
X,21-1012,"Educational, Vocational, and School Counselors","1,401","1,530",9.2,43,$16.16,$22.23,Master's degree,http://www.onetonline.org/link/summary/21-1012.00,http://www.onetonline.org/link/summary/21-1012.00
,43-6011,Executive Secretaries and Administrative Assistants,"2,551","2,627",3.0,42,$14.65,$19.04,High school diploma or equivalent,http://www.onetonline.org/link/summary/43-6011.00,http://www.onetonline.org/link/summary/43-6011.00
,49-9021,"Heating, Air Conditioning, and Refrigeration Mechanics and Installers","1,849","1,927",4.2,41,$15.35,$20.43,Postsecondary non-degree award,http://www.onetonline.org/link/summary/49-9021.00,http://www.onetonline.org/link/summary/49-9021.00
,21-2011,Clergy,"2,243","2,275",1.4,41,$8.59,$18.88,Bachelor's degree,http://www.onetonline.org/link/summary/21-2011.00,http://www.onetonline.org/link/summary/21-2011.00
,43-9041,Insurance Claims and Policy Processing Clerks,"1,345","1,330",-1.1,40,$12.70,$16.38,High school diploma or equivalent,http://www.onetonline.org/link/summary/43-9041.00,http://www.onetonline.org/link/summary/43-9041.00
X,51-4041,Machinists,"1,610","1,710",6.2,40,$15.44,$21.25,High school diploma or equivalent,http://www.onetonline.org/link/summary/51-4041.00,http://www.onetonline.org/link/summary/51-4041.00
,11-9032,"Education Administrators, Elementary and Secondary School","1,357","1,380",1.7,40,$26.61,$35.03,Master's degree,http://www.onetonline.org/link/summary/11-9032.00,http://www.onetonline.org/link/summary/11-9032.00
X,27-3031,Public Relations Specialists,987,"1,128",14.3,40,$14.09,$20.42,Bachelor's degree,http://www.onetonline.org/link/summary/27-3031.00,http://www.onetonline.org/link/summary/27-3031.00
,11-9051,Food Service Managers,"2,091","1,999",-4.4,39,$14.61,$22.36,High school diploma or equivalent,http://www.onetonline.org/link/summary/11-9051.00,http://www.onetonline.org/link/summary/11-9051.00
,41-1012,First-Line Supervisors/Managers of Non-Retail Sales Workers,"1,250","1,314",5.1,38,$16.20,$25.61,High school diploma or equivalent,http://www.onetonline.org/link/summary/41-1012.00,http://www.onetonline.org/link/summary/41-1012.00
X,13-1151,Training and Development Specialists,"1,074","1,279",19.1,38,$14.20,$22.70,Bachelor's degree,http://www.onetonline.org/link/summary/13-1151.00,http://www.onetonline.org/link/summary/13-1151.00
,21-1021,"Child, Family, and School Social Workers","1,606","1,607",0.1,38,$15.16,$20.58,Bachelor's degree,http://www.onetonline.org/link/summary/21-1021.00,http://www.onetonline.org/link/summary/21-1021.00
X,11-3011,Administrative Services Managers,"1,175","1,260",7.2,37,$20.35,$30.77,High school diploma or equivalent,http://www.onetonline.org/link/summary/11-3011.00,http://www.onetonline.org/link/summary/11-3011.00
X,29-1123,Physical Therapists,"1,397","1,604",14.8,37,$27.67,$34.30,Doctoral or professional degree,http://www.onetonline.org/link/summary/29-1123.00,http://www.onetonline.org/link/summary/29-1123.00
X,49-3042,"Mobile Heavy Equipment Mechanics, Except Engines","1,000","1,100",10.0,36,$14.53,$19.17,High school diploma or equivalent,http://www.onetonline.org/link/summary/49-3042.00,http://www.onetonline.org/link/summary/49-3042.00
,11-9021,Construction Managers,"3,206","3,357",4.7,36,$19.78,$32.88,Associate's degree,http://www.onetonline.org/link/summary/11-9021.00,http://www.onetonline.org/link/summary/11-9021.00
X,29-2021,Dental Hygienists,"1,060","1,207",13.9,36,$28.10,$33.09,Associate's degree,http://www.onetonline.org/link/summary/29-2021.00,http://www.onetonline.org/link/summary/29-2021.00
,11-1011,Chief Executives,"1,381","1,342",-2.8,36,$34.88,$58.21,Bachelor's degree,http://www.onetonline.org/link/summary/11-1011.00,http://www.onetonline.org/link/summary/11-1011.00
X,13-1078,"Human resources, labor relations, and training specialists, all other","1,285","1,430",11.3,36,$17.77,$23.28,Bachelor's degree,http://www.onetonline.org/link/summary/13-1078.00,http://www.onetonline.org/link/summary/13-1078.00
X,13-1111,Management Analysts,"1,462","1,582",8.2,36,$21.14,$29.10,Bachelor's degree,http://www.onetonline.org/link/summary/13-1111.00,http://www.onetonline.org/link/summary/13-1111.00
,11-9151,Social and Community Service Managers,"1,302","1,358",4.3,34,$18.47,$25.65,Bachelor's degree,http://www.onetonline.org/link/summary/11-9151.00,http://www.onetonline.org/link/summary/11-9151.00
X,15-1132,"Software Developers, Applications","1,389","1,575",13.4,33,$27.08,$35.04,Bachelor's degree,http://www.onetonline.org/link/summary/15-1132.00,http://www.onetonline.org/link/summary/15-1132.00
